Date,Open,High,Low,Close,Volume
2020-12-31,125,230,125,230,139713
2021-12-31,230,670,150,625,869721
2022-12-31,615,955,560,800,437656
2023-12-31,750,755,550,725,102031
2024-12-31,725,890,580,750,498357
2025-12-31,750,750,520,685,292033
