Date,Open,High,Low,Close,Volume
2020-11-30,610,680,565,600,86943
2020-12-31,600,675,590,600,72441
2021-01-31,625,660,600,645,14098
2021-02-28,645,645,560,585,57523
2021-03-31,585,600,575,600,90134
2021-04-30,600,600,550,590,50272
2021-05-31,590,610,520,600,108213
2021-06-30,600,800,585,780,114048
2021-07-31,765,780,655,710,32518
2021-08-31,750,780,700,775,41568
2021-09-30,775,950,775,890,107569
2021-10-31,890,1060,835,1035,90254
2021-11-30,960,960,775,880,53804
2021-12-31,890,910,790,860,59906
2022-01-31,860,900,815,860,71365
2022-02-28,860,1000,860,930,86162
2022-03-31,930,945,900,925,69846
2022-04-30,925,935,850,900,48478
2022-05-31,895,895,775,830,18484
2022-06-30,815,865,800,840,17036
2022-07-31,830,950,810,890,27765
2022-08-31,895,895,810,850,16100
2022-09-30,850,895,810,875,19642
2022-10-31,870,890,810,870,21414
2022-11-30,865,865,750,770,50476
2022-12-31,715,800,675,750,20447
2023-01-31,750,800,705,750,22847
2023-02-28,750,810,750,750,16614
2023-03-31,760,830,755,790,23634
2023-04-30,790,790,650,650,35776
2023-05-31,650,705,650,665,47714
2023-06-30,660,800,640,755,66677
2023-07-31,755,800,715,770,71022
2023-08-31,770,850,750,760,42209
2023-09-30,770,875,755,845,39860
2023-10-31,800,850,785,815,31201
2023-11-30,805,840,805,810,27275
2023-12-31,805,830,700,790,26469
2024-01-31,790,800,700,800,29501
2024-02-29,800,810,725,755,17050
2024-03-31,770,800,715,795,88966
2024-04-30,795,800,735,760,74126
2024-05-31,760,800,725,775,32813
2024-06-30,775,850,730,850,156964
2024-07-31,850,900,800,850,30828
2024-08-31,850,985,800,910,95294
2024-09-30,910,940,805,850,104960
2024-10-31,850,900,810,895,371571
2024-11-30,890,940,850,900,101608
2024-12-31,900,905,845,880,121563
2025-01-31,880,900,830,890,43133
2025-02-28,900,905,855,905,35307
2025-03-31,905,1080,900,975,118774
2025-04-30,975,975,900,930,48472
2025-05-31,930,1000,910,970,112407
2025-06-30,970,1095,960,1065,82560
2025-07-31,1065,1085,975,1035,132421
2025-08-31,1035,1200,1020,1150,128607
2025-09-30,1140,1200,1115,1200,147437
2025-10-31,1245,1400,1175,1200,141561
