Date,Open,High,Low,Close,Volume
2025-01-31,101.38,102.32,97.72,100.37,0
2025-02-28,100.99,113.89,100.99,113.76,0
2025-03-31,113.7,122.49,113.7,120.07,0
2025-04-30,119.86,125.66,115.09,125.23,0
2025-05-31,125.7,156.28,125.7,156.28,0
2025-06-30,157.53,173.2,154.58,173.2,0
2025-07-31,172.4,211.08,172.36,211.08,0
2025-08-31,215.21,222.19,215.03,217.36,0
2025-09-30,212.93,212.93,183.77,185.56,0
2025-10-31,187.07,202.47,187.01,201.77,0
2025-11-30,201.03,226.28,191.18,224.23,0
2025-12-31,225.7,225.7,212.61,216.08,0
2026-01-31,215.92,233.7,213.63,232.36,0
2026-02-28,230.85,248.9,230.85,248.9,0
