Date,Open,High,Low,Close,Volume
2010-04-12,714,714.0,714.0,714,20000
2010-04-26,750,750.0,750.0,750,330520
2010-05-17,813,813.0,750.0,750,480720
2010-05-24,775,775.0,775.0,775,137840
2010-06-07,775,775.0,775.0,775,1200
2010-06-14,775,775.0,775.0,775,400
2010-06-21,775,775.0,775.0,775,600
2010-06-28,750,750.0,750.0,750,4200
2010-07-05,750,750.0,750.0,750,39760
2010-07-12,750,750.0,750.0,750,17520
2010-07-19,750,750.0,725.0,750,4400
2010-07-26,750,750.0,750.0,750,6360
2010-08-02,750,750.0,750.0,750,28520
2010-08-09,750,750.0,750.0,750,30440
2010-08-16,750,750.0,750.0,750,8680
2010-08-23,738,738.0,738.0,738,4400
2010-08-30,725,725.0,700.0,701,9800
2010-09-06,700,701.0,700.0,700,5600
2010-09-13,700,700.0,700.0,700,14360
2010-09-20,700,700.0,700.0,700,15960
2010-09-27,700,700.0,700.0,700,6000
2010-10-04,695,695.0,688.0,688,83240
2010-10-11,688,688.0,688.0,688,4200
2010-10-18,688,688.0,688.0,688,146280
2010-10-25,688,688.0,687.0,687,6360
2010-11-01,685,700.0,685.0,700,19640
2010-11-08,700,700.0,700.0,700,49560
2010-11-15,700,700.0,700.0,700,7000
2010-11-22,700,700.0,700.0,700,1360
2010-11-29,700,700.0,700.0,700,880
2010-12-06,725,725.0,725.0,725,2320
2010-12-13,725,750.0,725.0,750,23240
2010-12-20,725,750.0,725.0,750,11160
2010-12-27,750,750.0,750.0,750,6880
2011-01-03,750,750.0,750.0,750,40
2011-01-10,748,748.0,748.0,748,3160
2011-01-17,748,748.0,748.0,748,1320
2011-01-24,675,725.0,675.0,725,3240
2011-01-31,725,725.0,725.0,725,2680
2011-02-07,700,748.0,700.0,748,1600
2011-02-14,750,750.0,750.0,750,20000
2011-04-18,725,725.0,700.0,700,5600
2011-04-25,700,700.0,700.0,700,2760
2011-05-09,700,700.0,700.0,700,2120
2011-05-16,700,700.0,700.0,700,39800
2011-05-23,725,725.0,725.0,725,6360
2011-05-30,750,750.0,750.0,750,5160
2011-06-06,725,750.0,725.0,750,15320
2011-06-13,806,806.0,750.0,750,960
2011-06-20,700,725.0,700.0,725,8960
2011-06-27,725,725.0,725.0,725,4120
2011-07-04,728,750.0,728.0,750,6640
2011-07-11,750,750.0,750.0,750,8480
2011-07-18,750,750.0,750.0,750,3000
2011-07-25,750,750.0,750.0,750,4000
2011-08-01,775,775.0,775.0,775,1000
2011-08-08,725,725.0,725.0,725,4080
2011-08-15,725,725.0,725.0,725,1320
2011-08-22,725,725.0,725.0,725,4400
2011-08-29,725,725.0,725.0,725,8800
2011-09-05,688,688.0,688.0,688,560
2011-09-19,688,700.0,688.0,700,8640
2011-09-26,700,713.0,700.0,713,8520
2011-10-03,725,725.0,725.0,725,8400
2011-10-10,725,725.0,700.0,725,4600
2011-10-24,700,724.0,700.0,724,8480
2011-10-31,725,725.0,703.0,703,34600
2011-11-07,750,750.0,750.0,750,59400
2011-11-14,750,750.0,750.0,750,3040
2011-11-21,750,750.0,750.0,750,440
2011-11-28,750,750.0,750.0,750,3400
2011-12-05,750,750.0,750.0,750,1880
2011-12-12,750,804.0,748.0,804,4000
2011-12-19,800,800.0,688.0,688,4880
2011-12-26,684,684.0,684.0,684,4160
2012-01-02,684,700.0,684.0,700,23600
2012-01-09,725,725.0,725.0,725,280000
2012-01-23,700,700.0,699.0,699,5640
2012-01-30,700,725.0,700.0,725,16280
2012-02-06,725,725.0,700.0,700,4640
2012-02-13,700,700.0,700.0,700,1520
2012-02-20,700,700.0,688.0,688,2080
2012-02-27,688,688.0,670.0,675,11280
2012-03-05,675,675.0,675.0,675,24280
2012-03-12,663,675.0,663.0,675,90040
2012-03-19,700,700.0,700.0,700,17280
2012-03-26,700,700.0,700.0,700,2560
2012-04-02,700,700.0,700.0,700,6240
2012-04-09,700,700.0,648.0,648,12200
2012-04-16,648,648.0,638.0,648,4160
2012-04-23,638,675.0,638.0,675,2000
2012-04-30,650,725.0,650.0,725,31000
2012-05-07,725,725.0,725.0,725,67960
2012-05-14,725,738.0,725.0,738,8200
2012-05-21,738,738.0,730.0,730,5280
2012-06-04,713,713.0,713.0,713,1360
2012-06-11,713,718.0,713.0,718,60600
2012-06-18,713,750.0,713.0,750,3960
2012-06-25,750,750.0,750.0,750,65360
2012-07-02,725,725.0,725.0,725,200000
2012-07-09,700,700.0,700.0,700,480960
2012-07-16,700,700.0,700.0,700,7120
2012-07-23,700,725.0,700.0,725,16600
2012-07-30,700,700.0,698.0,700,2440
2012-08-06,725,738.0,725.0,738,8000
2012-08-13,738,738.0,713.0,713,87600
2012-08-20,725,725.0,725.0,725,8000
2012-08-27,738,738.0,738.0,738,71000
2012-09-03,713,713.0,701.0,701,5320
2012-09-10,713,713.0,700.0,700,10040
2012-09-17,725,725.0,725.0,725,440
2012-09-24,725,730.0,725.0,730,16720
2012-10-01,738,750.0,738.0,750,18320
2012-10-08,750,775.0,750.0,775,4400
2012-10-15,778,847.0,778.0,788,7680
2012-10-22,800,800.0,800.0,800,680
2012-10-29,800,800.0,800.0,800,18000
2012-11-05,860,875.0,860.0,875,11080
2012-11-12,875,875.0,875.0,875,3840
